,Rank,movie_title,year,star_cast,Rating,votes,link
165,166,Pad Man,2018,"R. Balki (dir.), Akshay Kumar, Radhika Apte",7.832574276378006,22874,https://www.imdb.com/title/tt7218518/
166,167,Lakshya,2004,"Farhan Akhtar (dir.), Hrithik Roshan, Preity Zinta",7.829303712403466,21613,https://www.imdb.com/title/tt0323013/
167,168,Sonchiriya,2019,"Abhishek Chaubey (dir.), Sushant Singh Rajput, Bhumi Pednekar",7.828510798354491,9765,https://www.imdb.com/title/tt8108200/
168,169,Baahubali: The Beginning,2015,"S.S. Rajamouli (dir.), Prabhas, Rana Daggubati",7.8271820552396685,106734,https://www.imdb.com/title/tt2631186/
169,170,Vettaiyaadu Vilaiyaadu,2006,"Gautham Vasudev Menon (dir.), Kamal Haasan, Jyotika",7.826366392360876,7002,https://www.imdb.com/title/tt0455829/
170,171,Dor,2006,"Nagesh Kukunoor (dir.), Ayesha Takia, Shreyas Talpade",7.826173663451127,5801,https://www.imdb.com/title/tt0824316/
171,172,Hey Ram,2000,"Kamal Haasan (dir.), Kamal Haasan, Shah Rukh Khan",7.824303207607032,11927,https://www.imdb.com/title/tt0222012/
172,173,Baby,2015,"Neeraj Pandey (dir.), Akshay Kumar, Danny Denzongpa",7.818177616478557,54274,https://www.imdb.com/title/tt3848892/
173,174,Ayyappanum Koshiyum,2020,"Sachy (dir.), Prithviraj Sukumaran, Biju Menon",7.818035862329698,5320,https://www.imdb.com/title/tt11322920/
174,175,Airlift,2016,"Raja Menon (dir.), Akshay Kumar, Nimrat Kaur",7.812200385005371,54129,https://www.imdb.com/title/tt4387040/
175,176,Anjaam Pathiraa,2020,"Midhun Manuel Thomas (dir.), Kunchacko Boban, Jinu Joseph",7.811765269097197,5367,https://www.imdb.com/title/tt10717738/
176,177,Hindi Medium,2017,"Saket Chaudhary (dir.), Irrfan Khan, Saba Qamar",7.804419606476557,24956,https://www.imdb.com/title/tt5764096/
177,178,Okkadu,2003,"Gunasekhar (dir.), Mahesh Babu, Bhoomika Chawla",7.800217755317407,8879,https://www.imdb.com/title/tt0366840/
178,179,English Vinglish,2012,"Gauri Shinde (dir.), Sridevi, Adil Hussain",7.799026862965573,34429,https://www.imdb.com/title/tt2181931/
179,180,Thulladha Manamum Thullum,1999,"Ezhil (dir.), Joseph Vijay, Simran",7.7972924346448345,5046,https://www.imdb.com/title/tt1517561/
180,181,Gangaajal,2003,"Prakash Jha (dir.), Ajay Devgn, Gracy Singh",7.791578090451027,16240,https://www.imdb.com/title/tt0373856/
181,182,Manam,2014,"Vikram K. Kumar (dir.), Akkineni Nageshwara Rao, Nagarjuna Akkineni",7.789107384640893,10323,https://www.imdb.com/title/tt2926068/
182,183,The Lunchbox,2013,"Ritesh Batra (dir.), Irrfan Khan, Nimrat Kaur",7.7890000842706195,52424,https://www.imdb.com/title/tt2350496/
183,184,Johnny Gaddaar,2007,"Sriram Raghavan (dir.), Dharmendra, Rimi Sen",7.780448219283139,11841,https://www.imdb.com/title/tt1077248/
184,185,Ab Tak Chhappan,2004,"Shimit Amin (dir.), Nana Patekar, Revathi",7.777120521217725,8414,https://www.imdb.com/title/tt0402014/
185,186,Joji,2021,"Dileesh Pothan (dir.), Fahadh Faasil, Dileesh Pothan",7.764304389355546,6735,https://www.imdb.com/title/tt13206926/
186,187,Badla,2019,"Sujoy Ghosh (dir.), Amitabh Bachchan, Taapsee Pannu",7.753470104167067,24326,https://www.imdb.com/title/tt8130968/
187,188,Pokiri,2006,"Puri Jagannadh (dir.), Mahesh Babu, Ileana D'Cruz",7.750989434275885,13240,https://www.imdb.com/title/tt0816258/
188,189,Secret Superstar,2017,"Advait Chandan (dir.), Zaira Wasim, Meher Vij",7.7507494536657555,22179,https://www.imdb.com/title/tt6108090/
189,190,MS Dhoni: The Untold Story,2016,"Neeraj Pandey (dir.), Sushant Singh Rajput, Kiara Advani",7.742333556700978,44380,https://www.imdb.com/title/tt4169250/
190,191,Nayak: The Real Hero,2001,"S. Shankar (dir.), Anil Kapoor, Rani Mukerji",7.736686835350208,15062,https://www.imdb.com/title/tt0291376/
191,192,Vicky Donor,2012,"Shoojit Sircar (dir.), Ayushmann Khurrana, Yami Gautam",7.735586646643934,40781,https://www.imdb.com/title/tt2317337/
192,193,Mr India,1987,"Shekhar Kapur (dir.), Anil Kapoor, Sridevi",7.730857828294805,14526,https://www.imdb.com/title/tt0093578/
193,194,Raazi,2018,"Meghna Gulzar (dir.), Alia Bhatt, Vicky Kaushal",7.728020672848842,26834,https://www.imdb.com/title/tt7098658/
194,195,Udta Punjab,2016,"Abhishek Chaubey (dir.), Shahid Kapoor, Alia Bhatt",7.727094457385255,28193,https://www.imdb.com/title/tt4434004/
195,196,Stanley Ka Dabba,2011,"Amole Gupte (dir.), Partho A. Gupte, Numaan Sheikh",7.726936730108779,6535,https://www.imdb.com/title/tt1907761/
196,197,Goodachari,2018,"Sashi Kiran Tikka (dir.), Adivi Sesh, Sobhita Dhulipala",7.72492811258871,8785,https://www.imdb.com/title/tt7758160/
197,198,Don,1978,"Chandra Barot (dir.), Amitabh Bachchan, Zeenat Aman",7.7239418468985175,11636,https://www.imdb.com/title/tt0077451/
198,199,RangiTaranga,2015,"Anup Bhandari (dir.), Nirup Bhandari, Radhika Narayan",7.71778764921808,12852,https://www.imdb.com/title/tt4432480/
199,200,Rock On!!,2008,"Abhishek Kapoor (dir.), Arjun Rampal, Farhan Akhtar",7.715180297601482,21275,https://www.imdb.com/title/tt1230165/
200,201,Veer-Zaara,2004,"Yash Chopra (dir.), Shah Rukh Khan, Preity Zinta",7.713091987727106,50324,https://www.imdb.com/title/tt0420332/
201,202,Velaiyilla Pattathari,2014,"Velraj (dir.), Dhanush, Saranya Ponvannan",7.711958875686598,6364,https://www.imdb.com/title/tt3822396/
202,203,Ko,2011,"K.V. Anand (dir.), Jiiva, Ajmal Ameer",7.710779530182752,5226,https://www.imdb.com/title/tt1851988/
203,204,Aligarh,2015,"Hansal Mehta (dir.), Manoj Bajpayee, Rajkummar Rao",7.709701319590297,6484,https://www.imdb.com/title/tt5121000/
204,205,Dasvidaniya,2008,"Shashant Shah (dir.), Vinay Pathak, Sarita Joshi",7.704941852777378,6155,https://www.imdb.com/title/tt1288638/
205,206,Guru,2007,"Mani Ratnam (dir.), Mithun Chakraborty, Abhishek Bachchan",7.697874073265943,22581,https://www.imdb.com/title/tt0499375/
206,207,Arya,2004,"Sukumar (dir.), Allu Arjun, Anuradha Mehta",7.695806145464186,5823,https://www.imdb.com/title/tt0431619/
